0,1,2,3,4,5,6
101,"Lacre Malote, Material: Polipropileno de alta resistência, Características Adicionais: Numerado E Personalizado/Alto Relevo/Dupla Trava, Comprimento: 16cm. Embalagem pacote com 100 unidades. Idem ao Item 100 - Cota reservada para ME/EPP.",404381,PC,930,"R$ 28,50","R$ 26.505,00"
102,"Almofada para carimbo. Especificações técnicas: almofada para carimbo, material caixa plástico reciclado, material almofada esponja absorvente revestida de tecido, cor azul, tipo entintada, comprimento 120mm, largura 90mm.",411942,UN,900,"R$ 9,00","R$ 8.100,00"
