ITEM,ESPECIFICAÇÃO,CATMAT,UF,QTD,VALOR UNITÁRIO,VALOR TOTAL
17,"Caneta esferográfica. Especificações técnicas: caneta esferográfica, material plástico, quantidade cargas 1, material ponta aço inoxidável com esfera de tungstênio de 1,0mm, fina, cor tinta azul, características adicionais corpo sextavado, transparente, carga substituível e tampa ventilada, similar à BIC. Embalagem: caixa com 50 unidades.",300812,CX,2098,"R$ 47,41","R$ 99.466,18"
18,"Caneta esferográfica. Especificações técnicas: caneta esferográfica, material plástico, quantidade cargas 1, material ponta de latão com esfera de tungstênio 1,0mm , tipo escrita média, cor tinta preta. Características adicionais: corpo sextavado, transparente, carga substituível, tampa ventilada com orifício lateral, similar à BIC. Embalagem: caixa com 50 unidades.",309415,CX,1768,"R$ 47,50","R$ 83.980,00"
19,"Caneta esferográfica. Especificações técnicas: caneta esferográfica, material plástico, quantidade cargas 1, material ponta aço inoxidável com esfera de tungstênio de 1,0mm, tipo escrita média, cor tinta vermelha, características adicionais corpo sextavado, transparente, carga substituível e tampa ventilada, similar à BIC. Embalagem: caixa com 50 unidades.",300830,CX,406,"R$ 40,00","R$ 16.240,00"
20,"Caneta hidrográfica. Especificações técnicas: caneta hidrográfica, material plástico, formato corpo cilíndrico, material ponta poliacetato, espessura escrita fina, cor carga azul, aplicação retroprojetor, características adicionais ponta de 1mm, tinta permanente.",317874,UN,812,"R$ 12,50","R$ 10.150,00"
