ITEM,ESPECIFICAÇÃO,CATMAT,UF,QTD,VALOR UNITÁRIO,VALOR TOTAL
68,"Pasta arquivo. Material: plástico corrugado flexível, largura: 225 mm, altura: 55 mm, cor: variada, características adicionais: montável e com elástico, tamanho: 315 mm, aplicação: material de expediente e escritório.",482238,UN,3530,"R$ 8,49","R$ 29.969,70"
69,"Pasta arquivo. Especificações técnicas: pasta arquivo, material cartão kraft, tipo suspensa, largura 360mm, altura 235mm, cor castanha, características adicionais com acetato, etiqueta branca, grampo trilho plástico, gramatura 210g/m 2 , aplicação arquivo de documento.",380737,UN,4370,"R$ 3,23","R$ 14.115,10"
70,"Pasta arquivo. Especificações técnicas: pasta arquivo, material papelão revestido de PVC, tipo catálogo, largura 245mm, altura 335mm, cor preta, capacidade 100 sacos plásticos, características adicionais 2 prendedores internos.",402797,UN,2900,"R$ 26,89","R$ 77.981,00"
71,"Pasta arquivo. Especificações técnicas: pasta arquivo, material papelão prensado plastificado, tipo AZ, largura 280mm, altura 350mm, lombada 80mm, cor cinza, prendedor interno com ferragem niquelada, características adicionais prendedor plástico de papel com encaixe, sem borda.",260573,UN,2790,"R$ 19,32","R$ 53.902,80"
72,"Pasta arquivo. Especificações técnicas: pasta arquivo, material plástico, tipo 'L', largura 210mm, altura 297mm, cor incolor, tamanho A4.",375501,UN,23580,"R$ 2,52","R$ 59.421,60"
73,"Pasta Arquivo. material: plástico, tipo: sanfonada, largura: 210 mm, altura: 297 mm, características adicionais: índice alfabético az e 31 divisórias, aplicação: arquivo de documento",462579,UN,2695,"R$ 56,32","R$ 151.782,40"
