ITEM,ESPECIFICAÇÃO,CATMAT,UF,QTD,VALOR UNITÁRIO,VALOR TOTAL
80,"Pilha. Especificações técnicas: pilha, tamanho pequena, modelo AA, características adicionais não recarregável, sistema eletroquímico alcalina, tensão nominal 1,5 volt. Embalagem com 2UN.",419859,EMB,6490,"R$ 9,00","R$ 58.410,00"
81,"Pincel atômico. Especificações técnicas: pincel atômico, material plástico, tipo ponta feltro, tipo carga descartável, cor tinta azul. Embalagem: caixa com 12 unidades.",202040,CX,748,"R$ 45,34","R$ 33.914,32"
82,"Pincel atômico. Especificações técnicas: pincel atômico, material plástico, tipo ponta feltro, tipo carga descartável, cor tinta vermelha. Embalagem: caixa com 12 unidades.",202043,CX,703,"R$ 42,62","R$ 29.961,86"
83,"Porta Canetas, Clipes e Lembretes Trio. Material: acrílico, largura: 230 mm, altura: 100 mm, aplicação: escritório, características adicionais: com 3 divisões.",283571,UN,1748,"R$ 17,00","R$ 29.716,00"
84,"Prancheta Portátil. Material: madeira, comprimento: 350 mm, largura: 250 mm, características adicionais: com pegador metálico.",413335,UN,1910,"R$ 10,97","R$ 20.952,70"
85,"Prendedor papel. Especificações técnicas: prendedor papel, material metal, tipo mola, tamanho 19 mm, capacidade para 70 folhas, cor preta, presilha em aço inoxidável, tipo grampomol. Caixa com 12 unidades.",267595,CX,2118,"R$ 7,39","R$ 15.652,02"
86,"Prendedor papel. Especificações técnicas: prendedor papel, material metal, tipo mola, tamanho 32 mm, capacidade para 150 folhas, cor preta, presilha em aço inoxidável, tipo grampomol. Caixa com 12 unidades.",267600,CX,2608,"R$ 19,61","R$ 51.142,88"
